Date,Open,High,Low,Close,Adj Close,Volume
09-04-2019,59199,59350,57500,57641.19922,57240.57422,8355
10-04-2019,57800,58450,57300,57491.75,57092.16406,7299
11-04-2019,57600,57991,57304.05078,57468.89844,57069.47266,3874
12-04-2019,57500,58599,57500,58515.75,58109.04688,4869
15-04-2019,59000,59044.75,58028.19922,58147.89844,57743.75781,4502
16-04-2019,58269,58540,57950.10156,58056.10156,57652.59766,3320
18-04-2019,58203,58400.10156,57526.10156,57812.19922,57410.38672,4303
22-04-2019,57650,57747.10156,56384.39844,56595.14844,56201.80078,3745
23-04-2019,57085,57085,56400,56564.44922,56171.30859,3363
24-04-2019,56600,56800,55555,55642.39844,55255.66406,5419
25-04-2019,56049,56192.94922,55300,55420.89844,55035.70313,5110
26-04-2019,55750,55839.75,54250,54410.05078,54031.88281,11658
30-04-2019,54410.05078,54589.75,52500,52905,52537.29688,9371
02-05-2019,52605,53690,51586.30078,52424.85156,52060.48438,26249
03-05-2019,52500,53400,52500,53110.89844,52741.76953,12837
06-05-2019,53110.89844,53990,52706,53817.85156,53443.79688,11787
07-05-2019,54000,54650,52666.30078,52944.64844,52576.66797,5985
08-05-2019,53049,54500,53000,54117.75,53741.61719,12180
09-05-2019,54400,54679.94922,54000,54431.19922,54052.88672,7410
10-05-2019,54600,54798.94922,53751.60156,53947.35156,53572.39844,5090
13-05-2019,53997,53997.89844,52927.89844,53071.75,52702.89063,2913
14-05-2019,53140,53499,52850,53289.85156,52919.47266,3264
15-05-2019,53590,53799,53200.05078,53559.30078,53187.05078,7314
16-05-2019,53849,53970,53100,53692.39844,53319.22266,5128
17-05-2019,53749.89844,54750,53401.64844,54369.69922,53991.81641,5326
20-05-2019,54889.69922,55149.94922,54232,54761.30078,54380.69531,9203
21-05-2019,55000,55150,54415,54772.10156,54391.41797,5597
22-05-2019,54999,55250,54500.05078,55123.85156,54740.73047,4630
23-05-2019,55523,56098.19922,54500,54818.30078,54437.30078,9450
24-05-2019,55200,57464.80078,55000,57009.30078,56613.0625,8395
27-05-2019,57300,57928.05078,56677.5,56862.64844,56467.4375,6040
28-05-2019,57148.94922,57250,56255.05078,56416.69922,56024.58594,4862
29-05-2019,56600,56890,55701,55916.69922,55528.05859,4761
30-05-2019,56250,56250,55025,55185.25,54801.6875,4519
31-05-2019,55299.10156,55676.69922,54525,55265.10156,54880.99219,6656
03-06-2019,55403.25,56431.94922,55390,56002.44922,55613.21094,6624
04-06-2019,56026,57600,56025,57382.44922,56983.625,11498
06-06-2019,57599.94922,57741.05078,55510.60156,55805.80078,55417.9375,7419
07-06-2019,55950,56441.30078,55112,55597.5,55211.08203,6447
10-06-2019,55949,56000,55100,55594.55078,55208.14844,4118
11-06-2019,55800,56299.89844,55501,56197.05078,55806.46484,3948
12-06-2019,56270,56270,55417.30078,55709.5,55322.30859,4485
13-06-2019,55999,55999,54251,54770.94922,54390.27344,6714
14-06-2019,54651,55144,54383.80078,54704.75,54324.54297,3387
17-06-2019,54950,55300,54148.85156,54724.69922,54344.34375,5755
18-06-2019,54555,54950,54123.80078,54619.80078,54240.17578,4368
19-06-2019,54700,54931.80078,54326,54495.80078,54117.03906,6317
20-06-2019,54599.94922,55000,54114.89844,54921.69922,54539.98047,2777
21-06-2019,54850,55199.89844,54450,54922.39844,54540.67578,3125
24-06-2019,54600,55089.94922,54555.25,54660.69922,54280.79688,5044
25-06-2019,55050,56338.64844,54498.94922,55552.89844,55166.78125,13088
26-06-2019,55300,56350,55249,56094.75,55704.87109,5529
27-06-2019,56092,56900,56092,56501.94922,56109.24219,7335
28-06-2019,56799,56800,56346.85156,56609.60156,56216.14453,6063
01-07-2019,56840,57147.94922,56513,56758.85156,56364.36719,3293
02-07-2019,56758.85156,56974.19922,56182,56667.60156,56273.74609,3549
03-07-2019,56700,57075.35156,56615.25,56806.64844,56411.81641,4265
04-07-2019,56810,57000,56301.14844,56539.44922,56146.48047,3757
05-07-2019,56540,56714.10156,55750,56003.14844,55613.90625,3876
08-07-2019,55712,55712,54402.85156,54776.25,54395.54297,6867
09-07-2019,54893,54900,53980,54571.19922,54191.91016,6050
10-07-2019,54572,55400,54555.55078,55196.89844,54813.25781,5225
11-07-2019,55001,56528.44922,54696,56163.89844,55773.54688,4222
12-07-2019,56148,56291.80078,55680,56074.69922,55684.96484,3806
15-07-2019,55810,56321.55078,55810,56132.39844,55742.25781,4232
16-07-2019,55851,56745,55851,56510.89844,56118.13281,3608
17-07-2019,56510,56510,55817.5,56004.69922,55615.44922,4807
18-07-2019,56005,56252.75,55406.05078,55538.39844,55152.39453,3075
19-07-2019,55740,55900,53175.85156,53502.85156,53130.98828,8765
22-07-2019,53782.85156,54365.85156,53254.05078,54144.10156,53767.78516,3720
23-07-2019,54349,54435.39844,53600,53941.80078,53566.89063,3685
24-07-2019,54000,54639.94922,53725,54028.60156,53653.08203,5309
25-07-2019,54025,54483.60156,53800,54112.89844,53736.79688,4636
26-07-2019,54000,54981.75,54000,54338.5,53960.82813,2683
29-07-2019,54340,54660,53510,53785.30078,53411.47656,7924
30-07-2019,53990,54289.75,53673,53778.5,53404.72266,4885
31-07-2019,53801,53801,52636.55078,53548.75,53176.57422,5426
01-08-2019,53450,53878.35156,53100,53355.60156,53038.24219,5918
02-08-2019,53050,54284.55078,52411.14844,53869.55078,53549.14453,5861
05-08-2019,53250,53650,52951,53352.89844,53035.55469,3159
06-08-2019,53200,54094.94922,53200,53871.14844,53550.72266,2796
07-08-2019,54000,54450,53700,53998.5,53677.32813,4650
08-08-2019,54015,54900,54005,54699.55078,54374.21094,2761
09-08-2019,54850,57431.60156,54550,57034.44922,56695.21875,21845
13-08-2019,56601.30078,57390.89844,56011.10156,56736.75,56399.28906,7241
14-08-2019,56621,57871.5,56350,57293,56952.23828,8058
16-08-2019,57300,58300,56501.35156,56823.60156,56485.62891,5761
19-08-2019,57010,57745,57010,57589.80078,57247.26563,4045
20-08-2019,57502,57857,57228.94922,57548.89844,57206.60547,3228
21-08-2019,57501,57857,57200,57737,57393.58984,3921
22-08-2019,57502,57700,56979,57572.44922,57230.01953,5127
23-08-2019,57600,58400,56521.05078,57859.5,57515.36328,5842
26-08-2019,58450,59000,57304.05078,58782.39844,58432.77734,5060
27-08-2019,58780,59499,58650.55078,58871.5,58521.34375,4168
28-08-2019,58871,59200,57580.60156,57924.5,57579.97266,3434
29-08-2019,57950,57988,57188.05078,57545.64844,57203.37891,2946
30-08-2019,57660,58950,57660,58590.05078,58241.56641,4921
03-09-2019,58598.30078,58649.85156,57519.85156,57801.55078,57457.75391,3399
04-09-2019,57801.55078,58188.89844,57495.05078,57691.19922,57348.05469,3013
05-09-2019,57880,58260,57583.60156,57722.44922,57379.12109,2103
06-09-2019,58080,58980,57900.10156,58754.30078,58404.83594,2892
09-09-2019,58802,59200,58333,58869.10156,58518.96094,2887
11-09-2019,58950,60280,58875.05078,60101.94922,59744.46875,6205
12-09-2019,60256,61109.94922,60000,60658.89844,60298.11719,7908
13-09-2019,60754,60996.69922,59760.05078,60119.94922,59762.36719,7070
16-09-2019,59799,59980,59300.05078,59461.5,59107.82813,2897
17-09-2019,59650,59993.64844,57550,57852.39844,57508.30859,5455
18-09-2019,58699,58699,58000,58364.55078,58017.41016,4374
19-09-2019,58213,58400,57890.94922,58069.14844,57723.76172,2409
20-09-2019,58380,65850,58069.14844,64642.89844,64258.41406,25477
23-09-2019,64900,67467,64900,66180.25,65786.63281,16170
24-09-2019,66749,67227.54688,65691.29688,65879.54688,65487.70703,8452
25-09-2019,65522,65990,64200,64499.5,64115.86328,6021
26-09-2019,64499.5,65420,62150,62859.60156,62485.71875,20476
27-09-2019,62859.60156,63875.85156,62286.75,62674.55078,62301.76953,7538
30-09-2019,62959,63449.89844,62470,63291.55078,62915.10156,4885
01-10-2019,63299,63949,60768.94922,61863.39844,61495.44531,9209
03-10-2019,61863.39844,62065,61200,61471.05078,61105.42969,5960
04-10-2019,61980,61980,60515.89844,60938.35156,60575.89844,4320
07-10-2019,60989,61559,60600,61165.10156,60801.30078,3561
09-10-2019,61250.5,61500.89844,60283.55078,61186.10156,60822.17578,6263
10-10-2019,61200,61389,60736.85156,61174,60810.14063,3047
11-10-2019,61250,61887.55078,61050,61722.69922,61355.58203,4974
14-10-2019,61723,62717.55078,61641.35156,61996.64844,61627.89063,4294
15-10-2019,62150,63297.89844,61772,63027.5,62652.62109,4999
16-10-2019,63030,63615.94922,62629.44922,62896.89844,62522.79688,3660
17-10-2019,62896,65711.60156,62656,64901.89844,64515.87109,7039
18-10-2019,64900,65086.94922,63800,64019.75,63638.97266,4473
22-10-2019,64394.94922,64749.89844,64030.05078,64211.30078,63829.37891,3206
23-10-2019,64288,64542.94922,63866.44922,64321.30078,63938.72656,5771
24-10-2019,64650,64700,63055,63480.19922,63102.63281,8461
25-10-2019,63830,63980,63025.35156,63285.60156,62909.18359,5263
27-10-2019,63749,63749,63011.85156,63324.35156,62947.70703,534
29-10-2019,63579,65600,63334.14844,65171.14844,64783.51563,10839
30-10-2019,65250,65450,64103.44922,64893.30078,64507.32813,5400
31-10-2019,65200,66300,65105.10156,65673.75,65283.13281,7189
01-11-2019,65990,66495.60156,64684.39844,64965.80078,64579.39453,7154
04-11-2019,65301,65709.95313,64200,64440.35156,64057.06641,5008
05-11-2019,64738,65200.85156,63231.39844,63855.75,63475.94531,5484
06-11-2019,63880,64163.14844,63365.05078,63637.75,63259.23828,3245
07-11-2019,63755,63921.89844,63310.05078,63522.60156,63144.78125,2116
08-11-2019,63681.39844,65490,62855.69922,64454.44922,64071.08203,15991
11-11-2019,64001,64100,62950,63085.19922,62709.98047,7175
13-11-2019,63380,63380,62400,62959.14844,62584.67578,4688
14-11-2019,63068.80078,63700,62785.30078,63621.5,63243.08594,3395
15-11-2019,63749.05078,64460.25,63312.30078,63950.5,63570.13672,3201
18-11-2019,64110.39844,64699,63850,64393.55078,64010.55078,3043
19-11-2019,64440,64440.55078,63420,63539.35156,63161.42578,2672
20-11-2019,63849,64111.94922,62750.19922,63058.44922,62683.39063,2999
21-11-2019,63100,63430.19922,62446.19922,62546.5,62177.44531,3752
22-11-2019,62546,63100,62500.05078,62651.35156,62281.67969,3155
25-11-2019,62652,63954,62652,63860.14844,63483.33594,5750
26-11-2019,63865,64465.75,62933.75,63092.35156,62720.07031,4604
27-11-2019,63100,63496,62851,63004,62632.24609,4315
28-11-2019,63200,64298.89844,62812,63982.60156,63605.06641,4581
29-11-2019,63855.05078,64116.19922,63200.10156,63397.05078,63022.97266,2797
02-12-2019,63397.05078,63597.5,62550,62723.05078,62352.94922,4456
03-12-2019,62879.05078,63044.19922,61931.44922,62061.69922,61695.50391,4973
04-12-2019,62061.69922,62555.10156,61550,62092.10156,61725.71875,4926
05-12-2019,62380,62597.85156,61575.05078,61760.25,61395.82813,7439
06-12-2019,62187.89844,62750,61253.39844,61533.19922,61170.11719,6126
09-12-2019,61366,63097.14844,61252,62490.39844,62121.67188,3917
10-12-2019,62400,62458.94922,61525.05078,62070.10156,61703.85156,3345
11-12-2019,62300,62348.94922,61603.30078,62050.19922,61684.07031,2791
12-12-2019,62100,62950,62061.89844,62692.10156,62322.17578,2718
13-12-2019,62800,64100,62800,63926.35156,63549.14844,4829
16-12-2019,63600,64850,63600,64254.25,63875.11328,5929
17-12-2019,64254,64999.55078,63879,64703.75,64321.95703,3451
18-12-2019,64603.14844,64929.94922,64000,64126.89844,63748.50781,8346
19-12-2019,64250,64376.5,63728.05078,64080.05078,63701.94531,3274
20-12-2019,64080.05078,64387.94922,63457.89844,63765.19922,63388.94531,4087
23-12-2019,63600,63900,63387.60156,63680.89844,63305.14844,3576
24-12-2019,63616,63900,63449.89844,63611.75,63236.41016,2205
26-12-2019,63612,63750,62796.44922,63141.75,62769.17578,3506
27-12-2019,63299.60156,66599.79688,63202.10156,65639.45313,65252.14453,8889
30-12-2019,65999,66990,65500,66252.39844,65861.45313,9010
31-12-2019,65995.70313,66579,65792,66330.29688,65938.90625,6007
01-01-2020,66199,66944,66100,66709.04688,66315.40625,4235
02-01-2020,66709.04688,67715.95313,66266,67302.54688,66905.4375,6603
03-01-2020,67400,67466.64844,66250,66583.45313,66190.57031,5527
06-01-2020,66012.29688,66176.89844,65120.14844,65508.94922,65122.40625,10446
07-01-2020,65749,66515.04688,65100,65334.10156,64948.59766,10835
08-01-2020,64800,65237.89844,64300,64871.55078,64488.77344,7222
09-01-2020,65800,67150,65520.80078,66917.70313,66522.85938,9491
10-01-2020,66725,68100,66329.54688,67493.64844,67095.39844,9439
13-01-2020,67492,67900,66750,67016.70313,66621.27344,5981
14-01-2020,66701,67500,66452,66696.10156,66302.55469,8147
15-01-2020,66798,66918.60156,65819.54688,66271.70313,65880.65625,7937
16-01-2020,66499,67150,65897,67059.39844,66663.70313,9044
17-01-2020,67460,70000,67139.95313,69312.89844,68903.89063,22381
20-01-2020,69060,70220.25,68244,68510.75,68106.50781,9587
21-01-2020,68400,68550,67586.89844,67930.14844,67529.32031,3847
22-01-2020,68459,68800,67521.14844,67851.14844,67450.78906,4575
23-01-2020,68500,70000,68140,69878.64844,69466.32031,9651
24-01-2020,69611,70825.64844,69500,70407.35156,69991.91406,8680
27-01-2020,70290,70600,69781,70309.35156,69894.49219,7624
28-01-2020,70585,70999.95313,69342.04688,69864.70313,69452.46875,5883
29-01-2020,70090,70600,70000,70372.54688,69957.3125,4712
30-01-2020,70539,70600,69501,69818.60156,69406.64063,6362
31-01-2020,69849,70600,69318.20313,69674.75,69263.63281,4805
03-02-2020,68690,69888,68000,69462.64844,69052.78906,6669
04-02-2020,69650,71899,69650,71680.14844,71257.19531,12327
05-02-2020,71680.14844,73565.70313,71680.14844,72390.79688,71963.64844,10788
06-02-2020,72599,73100,71260,71636.35156,71213.64844,5926
07-02-2020,71899,71900,70371.25,70960.45313,70541.75,5974
10-02-2020,71490,73500,69800,73247.89844,72815.6875,29310
11-02-2020,73200,73500,71111,71381.70313,70960.5,13405
12-02-2020,71755,72809.29688,71400,71675.95313,71253.02344,5903
13-02-2020,71967,71967,70901.10156,71525.14844,71103.10938,5184
14-02-2020,71800,72519.20313,71100,71799.20313,71375.55469,7017
17-02-2020,71800,72333,71200,71299.79688,70879.09375,3950
18-02-2020,71500,71500,69525,69693.60156,69285.28906,9604
19-02-2020,70290,70437.14844,69500,69959.29688,69549.42188,5731
20-02-2020,69959.29688,71232.60156,69751.10156,70789.5,70374.76563,8466
24-02-2020,70888,70888,68500.14844,68874.70313,68471.19531,4295
25-02-2020,69100,69798.89844,68500,69133.45313,68728.41406,6211
26-02-2020,69134,69403.95313,67850,68140,67740.77344,5155
27-02-2020,68180,68339.95313,66730.70313,67559.45313,67163.63281,6856
28-02-2020,66400,67296.64844,65315,66393.20313,66004.21875,11768
02-03-2020,66891,67595.89844,65551,65976.29688,65589.78125,6419
03-03-2020,66799,68558.35156,65600,67740.70313,67343.82813,8202
04-03-2020,67270,67698.79688,66100,67053.35156,66660.49219,8187
05-03-2020,67300.04688,68169.89844,66809.5,67325.14844,66930.71875,5745
06-03-2020,66389,66500.20313,63858.55078,66348.14844,65959.44531,9851
09-03-2020,65800,65800,63052.44922,64261.85156,63885.36328,9596
11-03-2020,64200,65687.29688,62703,63589.85156,63217.30078,15621
12-03-2020,62001,62888.19922,58000,60555.25,60200.47266,17336
13-03-2020,56030,66300,56030,65929.35156,65543.10938,15213
16-03-2020,62000,63899.85156,60309.05078,61295.05078,60935.93359,11325
17-03-2020,61295.05078,63749.80078,60350.05078,62140.69922,61776.63672,14677
18-03-2020,62899.94922,63395.10156,59200,59921.14844,59570.08594,12224
19-03-2020,58950,59870,56950.5,57803.75,57465.09375,18081
20-03-2020,58199.94922,61111.10156,57534.69922,58988.94922,58643.34766,12332
23-03-2020,55905,56998.85156,51500,51970.25,51665.78125,20514
24-03-2020,55000,55000,49915.10156,52597.69922,52289.54297,15772
25-03-2020,50155.55078,57700,50155.55078,56579.25,56247.76563,16480
26-03-2020,56600,60742.64844,54900,55343.75,55019.50391,16474
27-03-2020,57940,58200,53620,56371.25,56040.98438,15883
30-03-2020,54700,55270,53522.89844,54375.69922,54057.125,39105
31-03-2020,54600,59312,54121.05078,58164.44922,57823.67969,25755
01-04-2020,57900,57900,54675.44922,55108.85156,54785.98438,20661
03-04-2020,55600,56200,54500,55062.25,54739.66016,33126
07-04-2020,56500,58088,56055.05078,57701.05078,57362.99609,18689
08-04-2020,56600,59500,56300,57172.75,56837.79297,15231
09-04-2020,58599,60460.05078,57700.19922,60017.89844,59666.26563,17979
13-04-2020,59500,59831.39844,57101,57399.19922,57062.91797,13752
15-04-2020,58500,58500,56760,57417.75,57081.34766,17187
16-04-2020,57390,62000,57012.10156,60441.89844,60087.78516,22062
17-04-2020,61541.89844,62340,61000,61638.30078,61277.17969,15847
20-04-2020,62000,62000,61150,61384,61024.36719,9847
21-04-2020,60500,60793.60156,58500.69922,58864.75,58519.87891,12668
22-04-2020,58875,59489.89844,57829,58221.94922,57880.84766,14951
23-04-2020,58547,59341.85156,58500,58712.35156,58368.36719,8688
24-04-2020,58225,59200,58000,58805.39844,58460.87891,8119
27-04-2020,59700,60290,58805.39844,59206.55078,58859.67578,7821
28-04-2020,59800,59800,58550,59075.69922,58729.58594,6233
29-04-2020,59100,59750,58900,59203.69922,58856.83594,8035
30-04-2020,59800,61800,59499.94922,60510.64844,60156.13672,18800
04-05-2020,59499.94922,59499.94922,57700,57987.30078,57647.57422,9677
05-05-2020,58647,59350,57500,57750,57411.66016,9615
06-05-2020,58350,58790,57200.10156,58362.69922,58020.76563,8360
07-05-2020,58000,59000,58000,58831.05078,58486.37891,7492
08-05-2020,58902,59783.05078,58450,58874.89844,58529.96484,9752
11-05-2020,59025,59450,58286,58791.19922,58446.75391,12163
12-05-2020,58500,58629.89844,57318.85156,57632.10156,57294.44922,8170
13-05-2020,58850,60200,58221.5,59645.14844,59295.70313,16232
14-05-2020,58676,59125,57925.39844,58132.60156,57792.02344,6586
15-05-2020,58751,58751,57775,58135.55078,57794.94922,8049
18-05-2020,58235,58499.94922,56150,56356.05078,56025.87891,9020
19-05-2020,56850,57400,56600,56828.19922,56495.25781,6472
20-05-2020,57200,57400,56745.05078,57298.89844,56963.20313,7045
21-05-2020,57399,58260,57300,57451.5,57114.90625,4818
22-05-2020,57309.44922,57890,57000,57434.10156,57097.61328,4096
26-05-2020,57834.80078,58199.94922,57195.14844,57726.10156,57387.90234,6257
27-05-2020,57825,58200,57500,58078.80078,57738.53125,5430
28-05-2020,57952,58950,57951.94922,58466.19922,58123.66016,6482
29-05-2020,58350.5,59350.5,58350.5,59113.10156,58766.77344,7484
01-06-2020,59500,62269.94922,59365.60156,61446.05078,61086.0625,11453
02-06-2020,61999,63738.44922,61657.69922,62692.39844,62325.09375,11885
03-06-2020,63499.94922,64172.30078,61129.25,61744.25,61382.50781,14523
04-06-2020,61844.25,62487.89844,60710,61648.75,61287.5625,11209
05-06-2020,61705,63844,61521.10156,63526.19922,63154.01172,13614
08-06-2020,63700,65150,63561.10156,64244.39844,63868.00391,15854
09-06-2020,64970,64970,63550,63994.14844,63619.22266,12490
10-06-2020,63990,64394.14844,63250.89844,63796.35156,63422.58594,7412
11-06-2020,63699.94922,64099.94922,62700.14844,62884.94922,62516.52734,7919
12-06-2020,61000,64100,59500,63729.05078,63355.67188,11399
